 | N = 5 | Q = 50000 | Binomial | 0.0899133000 secunde
 | N = 5 | Q = 50000 | Rank-Pairing | 0.0046314000 secunde
 | N = 5 | Q = 50000 | Binomial | 0.1351903000 secunde
 | N = 5 | Q = 50000 | Rank-Pairing | 0.0066237000 secunde
 | N = 5 | Q = 50000 | Binomial | 3.3196728000 secunde
 | N = 5 | Q = 50000 | Rank-Pairing | 0.0051592000 secunde
 | N = 5 | Q = 50000 | Binomial | 2.6514773000 secunde
 | N = 5 | Q = 50000 | Rank-Pairing | 0.0042742000 secunde
 | N = 20 | Q = 200000 | Binomial | 0.3473693000 secunde
 | N = 20 | Q = 200000 | Rank-Pairing | 0.0173818000 secunde
 | N = 20 | Q = 200000 | Binomial | 0.5532805000 secunde
 | N = 20 | Q = 200000 | Rank-Pairing | 0.0235500000 secunde
 | N = 20 | Q = 200000 | Binomial | 13.9429255000 secunde
 | N = 20 | Q = 200000 | Rank-Pairing | 0.0298190000 secunde
 | N = 20 | Q = 200000 | Binomial | 11.2548837000 secunde
 | N = 20 | Q = 200000 | Rank-Pairing | 0.0112471000 secunde
 | N = 100 | Q = 1000000 | Binomial | 1.8273470000 secunde
 | N = 100 | Q = 1000000 | Rank-Pairing | 0.0277966000 secunde
 | N = 100 | Q = 1000000 | Binomial | 2.0156990000 secunde
 | N = 100 | Q = 1000000 | Rank-Pairing | 0.0719509000 secunde
 | N = 100 | Q = 1000000 | Binomial | 137.4257424000 secunde
 | N = 100 | Q = 1000000 | Rank-Pairing | 0.0723953000 secunde
 | N = 100 | Q = 1000000 | Binomial | 159.5840563000 secunde
 | N = 100 | Q = 1000000 | Rank-Pairing | 0.0691986000 secunde
